keys,es,en
SLEEP_TITLE_HOSTAL,"Descansar en el hostal","Rest at the inn"
SLEEP_TITLE_CALLEJON,"Dormir en el callejón","Sleep in the alley"
SLEEP_TITLE_CALLE,"Dormir en la calle","Sleep on the street"
SLEEP_HORA,"hora","hour"
SLEEP_HORAS,"horas","hours"
SLEEP_POST_TEXTO,"Son las %s. ¿Qué quieres hacer?","It's %s. What do you want to do?"
SLEEP_DESPERTAR,"Despertar","Wake up"
SLEEP_SEGUIR,"Seguir durmiendo","Keep sleeping"
SLEEP_SALIR,"Salir a la calle","Go outside"
SLEEP_HOSTAL_CERRADO,"El hostal está cerrado","The inn is closed"
SLEEP_HOSTAL_POCO_TIEMPO,"El hostal cierra pronto. No queda tiempo suficiente para descansar.","The inn closes soon. Not enough time to rest."
SLEEP_COLAPSO_MENSAJE,"Te has desvanecido de agotamiento...","You have fainted from exhaustion..."
JOURNAL_TITLE,"Mi Diario","My Diary"
JOURNAL_HOUR_MORNING,"Mañana","Morning"
JOURNAL_HOUR_AFTERNOON,"Tarde","Afternoon"
JOURNAL_HOUR_NIGHT,"Noche","Night"
JOURNAL_ATTR_LABEL,"Atractivo","Attractiveness"
JOURNAL_MONEY_LABEL,"Dinero","Money"
JOURNAL_DAY_LABEL,"Día","Day"
JOURNAL_PHYSICAL_STATE,"Estado Físico","Physical State"
JOURNAL_MENTAL_STATE,"Estado Mental","Mental State"
JOURNAL_STAT_HYGIENE,"Higiene","Hygiene"
JOURNAL_STAT_HEALTH,"Salud","Health"
JOURNAL_STAT_STAMINA,"Stamina","Stamina"
JOURNAL_STAT_HUNGER,"Hambre","Hunger"
JOURNAL_STAT_ALCOHOL,"Alcohol","Alcohol"
JOURNAL_STAT_LAUDANUM,"Laudano","Laudanum"
JOURNAL_STAT_DISEASE,"Enfermedad","Disease"
JOURNAL_STAT_SLEEP,"Sueño","Sleep"
JOURNAL_STAT_HAPPINESS,"Felicidad","Happiness"
JOURNAL_STAT_CALM,"Calma","Calm"
JOURNAL_STAT_STRESS,"Estres","Stress"
JOURNAL_STAT_NERVES,"Nervios","Nerves"
JOURNAL_BADGE_VAGABONDS,"Vagabundos","Vagabonds"
JOURNAL_BADGE_WORKERS,"Trabajadores","Workers"
JOURNAL_BADGE_BOURGEOIS,"Burgueses","Bourgeois"
JOURNAL_BADGE_NOBLES,"Nobles","Nobles"
JOURNAL_INVENTORY_TITLE,"Inventario","Inventory"
JOURNAL_EQUIPMENT_TITLE,"Equipamiento","Equipment"
JOURNAL_SLOT_HEAD,"Cabeza","Head"
JOURNAL_SLOT_NECK_COLLAR,"Collar","Collar"
JOURNAL_SLOT_NECK_PERFUME,"Colonia","Perfume"
JOURNAL_SLOT_BODY,"Cuerpo","Body"
JOURNAL_SLOT_GLOVES,"Guantes","Gloves"
JOURNAL_SLOT_HAND_LEFT,"Mano Izq.","Left Hand"
JOURNAL_SLOT_HAND_RIGHT,"Mano Der.","Right Hand"
JOURNAL_SLOT_SHOES,"Zapatos","Shoes"
JOURNAL_MAP_TITLE,"Whitechapel","Whitechapel"
JOURNAL_OBJECTIVES_TITLE,"Objetivos","Objectives"
MENU_CONTINUE,"Continuar","Continue"
MENU_NEW_GAME,"Nueva Partida","New Game"
MENU_LOAD,"Cargar Partida","Load Game"
MENU_OPTIONS,"Opciones","Options"
MENU_QUIT,"Salir","Quit"
MENU_BACK,"Volver","Back"
MENU_LANGUAGE,"Idioma","Language"
MENU_SLOT_EMPTY,"Slot %d — Vacío","Slot %d — Empty"
MENU_SAVE_SLOT,"Slot %d — Día %d / %02d:%02dh — %.0f s.","Slot %d — Day %d / %02d:%02dh — %.0f s."
MENU_CURRENCY,"s.","s."
ITEM_USE,"Usar","Use"
ITEM_EQUIP,"Equipar","Equip"
ITEM_DROP,"Tirar","Drop"
ITEM_CANCEL,"Cancelar","Cancel"
ITEM_DROP_SOME,"Tirar varios","Drop several"
ITEM_DROP_QTY,"¿Cuántos?","How many?"
ITEM_DROP_CONFIRM,"Confirmar","Confirm"
ITEM_MOVE,"Mover","Move"
SHOP_BUY,"Comprar","Buy"
SHOP_CANCEL,"Cancelar","Cancel"
SHOP_TOTAL,"Total: %s s.","Total: %s s."
SHOP_MONEY,"Tu dinero: %s s.","Your money: %s s."
SHOP_NO_MONEY,"¡Si no puedes pagarlo, lárgate!","If you can't pay for it, get out!"
SHOP_NO_SPACE,"¡No puedes cargar con más, mujer!","You can't carry any more, woman!"
BARMAN_SHOP_NAME,"The Ten Bells","The Ten Bells"
PERFUME_VENDOR_SHOP_NAME,"Perfumes & Remedies","Perfumes & Remedies"
PERFUME_POPUP_1,"¿Más perfume? Ya hueles como un burdel francés en llamas.","More perfume? You already smell like a French brothel on fire."
PERFUME_POPUP_2,"Querida, con tanto perfume ahuyentarás hasta a las ratas.","Dear, with that much perfume you'll scare off even the rats."
PERFUME_POPUP_3,"Un perfume a la vez. No eres una floristería.","One perfume at a time. You're not a flower shop."
PERFUME_POPUP_4,"El olfato de tus clientes tiene un límite, y ya lo superaste.","Your clients' sense of smell has a limit, and you've surpassed it."
PERFUME_POPUP_5,"Cariño, el exceso de perfume no tapa otros olores. Solo los mezcla.","Darling, too much perfume doesn't cover other smells. It just blends them."
PERFUME_POPUP_6,"¿Otro perfume? La niebla de Londres ya es bastante densa.","Another perfume? London's fog is already thick enough."
SHOP_MAX_STACK,"No puedes llevar más de este artículo.","You can't carry any more of this item."
ITEM_UNEQUIP,"Desequipar","Unequip"
ITEM_UNEQUIP_FULL,"Inventario lleno","Inventory full"
ITEM_UNEQUIP_PERFUME_ACTIVE,"El perfume expira solo","The perfume wears off on its own"
ITEM_DESC_ABSENTA,"El hada verde. Un sorbo basta para que el mundo pierda sus bordes. Úsala con juicio, o ella te usará a ti.","The green fairy. One sip and the world loses its edges. Use her wisely, or she'll use you instead."
ITEM_DESC_CERVEZA,"El pan líquido del pueblo. Turbia, amarga y cara para lo que da. Pero calienta los huesos en noches de niebla.","Liquid bread for the working folk. Cloudy, bitter, and dear for what it offers. But it warms the bones on foggy nights."
ITEM_DESC_GINEBRA,"La perdición de Whitechapel embotellada. Un penique la copa, la sobriedad entera por tierra.","Whitechapel's ruin in a bottle. A penny a glass, and your sobriety gone with it."
ITEM_DESC_RON,"Llega en barriles desde el Caribe y sale en tragos que queman hasta el alma. Los marineros lo llaman desayuno.","It arrives in barrels from the Caribbean and leaves in gulps that burn to the soul. Sailors call it breakfast."
ITEM_DESC_WHISKY,"Escocés, áspero y sin pedir perdón. El tipo de bebida que se bebe sola, en silencio, mirando la pared.","Scottish, rough, and unapologetic. The kind of drink you take alone, in silence, staring at the wall."
ITEM_DESC_WINE,"Vino barato de importación, aguado y con poso. Pero tiene más clase que la ginebra, y eso en este barrio es mucho.","Cheap imported wine, watered-down and cloudy. But it has more class than gin, and in this neighbourhood, that counts for something."
ITEM_DESC_ETER,"Los médicos lo llaman anestésico. En Whitechapel lo llaman alivio rápido. El olvido tiene un precio.","Physicians call it anaesthetic. In Whitechapel they call it quick relief. Forgetting has its price."
ITEM_DESC_LAUDANO,"Opio disuelto en alcohol. Los boticarios lo venden para el dolor. Las damas lo toman para todo lo demás.","Opium dissolved in alcohol. Apothecaries sell it for pain. Ladies take it for everything else."
ITEM_DESC_BOLSO,"Un bolso de cuero curtido, con correa larga y cierre de latón. Caben más cosas de las que aparenta.","A tanned leather bag with a long strap and brass clasp. It holds more than it lets on."
ITEM_DESC_ARENQUE,"Ahumado hasta quedar duro como madera. Huele a muelle y a días difíciles. Sustenta, aunque el olfato pague el precio.","Smoked until it's hard as wood. Smells of the dockside and hard days. It sustains you, though your nose pays the price."
ITEM_DESC_GACHAS,"Avena hervida en agua. Sin sal si no hay dinero para sal. La comida de quien no tiene elección.","Oats boiled in water. No salt if there's no money for salt. The meal of those who have no choice."
ITEM_DESC_PAN,"Un mendrugo duro del día anterior. En este barrio el pan fresco es un lujo para los que tienen dientes y peniques.","A hard crust from the day before. Fresh bread in this neighbourhood is a luxury for those with teeth and pennies to spare."
ITEM_DESC_PATATA,"Cocida, sin más. La patata alimenta a media Londres y nadie le da las gracias. Discreta y fiel como un buen perro.","Boiled, nothing more. The potato feeds half of London and nobody thanks it. Quiet and faithful, like a good dog."
ITEM_DESC_SOPA,"Caldo de lo que haya, hervido lo suficiente para matar lo que no se quiere saber que hay dentro. Calienta el alma.","Broth of whatever's available, boiled long enough to kill what you'd rather not know is in it. It warms the soul."
ITEM_DESC_TOCINO,"Grasa de cerdo salada y curada. El olor al freírse es lo más parecido a la felicidad que se conoce en estos callejones.","Salted and cured pork fat. The smell of it frying is the closest thing to happiness known in these alleys."
ITEM_DESC_BRUMA_MAYO,"Floral y fresco, recuerda a jardines que nunca has pisado. Dura lo que dura la ilusión, pero abre puertas.","Floral and fresh, it recalls gardens you've never walked. It lasts as long as the illusion, but it opens doors."
ITEM_DESC_JARDIN_SECRETO,"Intenso y herbal, con notas de musgo y madera húmeda. Despierta algo antiguo en quien lo huele. Calma los nervios propios, pero inquieta los ajenos.","Intense and herbal, with notes of moss and damp wood. It stirs something ancient in those who catch its scent. It soothes your nerves while unsettling everyone else's."
ITEM_DESC_NOCHE_ORIENTE,"Especiado y denso, viene de tierras que nunca verás. En Whitechapel abre puertas que el dinero no puede comprar.","Spiced and heavy, it comes from lands you'll never see. In Whitechapel, it opens doors that money cannot."
ITEM_DESC_PECADO_CARMESI,"Almizclado y oscuro. No es un perfume, es una declaración de intenciones. Los hombres pierden el juicio, y tú lo ganas.","Musky and dark. This is not a perfume, it's a statement of intent. Men lose their heads, and you gain the advantage."
ITEM_DESC_SUSURRO_SEDA,"Suave como promesas que no se cumplen. Huele a ropa cara y a noches que valen más de lo que cuestan.","Soft as promises that are never kept. It smells of expensive clothes and nights worth more than they cost."